,text,tokenized_text,POS_text,lemmatized_text
0,(☀️) Lionel Messi 🇦🇷 is OUT for the match against RB Leipzig. [@SaberDesfa] #UCL https://t.co/pWr9RuLbls,"['', '', '️', '', 'Lionel', 'Messi', '', '', 'is', 'OUT', 'for', 'the', 'match', 'against', 'RB', 'Leipzig', '', '', 'SaberDesfa', '', 'UCL', '']","[('', 'a'), ('', 'n'), ('️', 'n'), ('', 'n'), ('Lionel', 'n'), ('Messi', 'n'), ('', 'n'), ('', 'n'), ('is', 'v'), ('OUT', 'n'), ('match', 'n'), ('RB', 'n'), ('Leipzig', 'n'), ('', 'n'), ('', 'n'), ('SaberDesfa', 'n'), ('', 'n'), ('UCL', 'n'), ('', 'n')]","['️', 'Lionel', 'Messi', 'be', 'OUT', 'match', 'RB', 'Leipzig', 'SaberDesfa', 'UCL']"
1,"@CertifiedRatio @TrollFootball Album: psg
Artist: messi

Track Listing:
1. Bottlejob adventures
2. Ghosts
3. 007 (no time to contribute)
4. Save me 
5. I'm struggling
6. Out of place
7. I was forced to leave","['CertifiedRatio', 'TrollFootball', 'Album', '', 'psg', 'Artist', '', 'messi', 'Track', 'Listing', '', '1', '', 'Bottlejob', 'adventures', '2', '', 'Ghosts', '3', '', '007', '', 'no', 'time', 'to', 'contribute', '', '4', '', 'Save', 'me', '5', '', 'Im', 'struggling', '6', '', 'Out', 'of', 'place', '7', '', 'I', 'was', 'forced', 'to', 'leave']","[('CertifiedRatio', 'n'), ('TrollFootball', 'n'), ('Album', 'n'), ('', 'n'), ('psg', 'a'), ('Artist', 'n'), ('', 'n'), ('messi', 'n'), ('Track', 'n'), ('Listing', 'n'), ('', 'v'), ('', 'a'), ('Bottlejob', 'n'), ('adventures', 'v'), ('', 'n'), ('Ghosts', 'n'), ('', 'n'), ('time', 'n'), ('contribute', 'v'), ('', 'a'), ('', 'n'), ('Save', 'n'), ('', 'a'), ('Im', 'n'), ('struggling', 'v'), ('', 'a'), ('Out', 'n'), ('place', 'n'), ('', 'n'), ('was', 'v'), ('forced', 'v'), ('leave', 'v')]","['CertifiedRatio', 'TrollFootball', 'Album', 'psg', 'Artist', 'messi', 'Track', 'Listing', 'Bottlejob', 'adventure', 'Ghosts', 'time', 'contribute', 'Save', 'Im', 'struggle', 'Out', 'place', 'be', 'force', 'leave']"
2,"Messi 🗣

""I have had a long-standing relationship with Neymar, we kept talking despite not playing together. With Kylian at the beginning, it was strange because we didn't know if he was staying or leaving. Luckily we are getting to know each other more.""

[@TheChips_Futbol] https://t.co/VOANFkvh2j","['Messi', '', '', 'I', 'have', 'had', 'a', 'longstanding', 'relationship', 'with', 'Neymar', '', 'we', 'kept', 'talking', 'despite', 'not', 'playing', 'together', '', 'With', 'Kylian', 'at', 'the', 'beginning', '', 'it', 'was', 'strange', 'because', 'we', 'didnt', 'know', 'if', 'he', 'was', 'staying', 'or', 'leaving', '', 'Luckily', 'we', 'are', 'getting', 'to', 'know', 'each', 'other', 'more', '', '', '', 'TheChipsFutbol', '', '']","[('Messi', 'n'), ('', 'n'), ('', 'n'), ('have', 'v'), ('had', 'v'), ('longstanding', 'a'), ('relationship', 'n'), ('Neymar', 'n'), ('', 'n'), ('kept', 'v'), ('talking', 'v'), ('not', 'r'), ('playing', 'v'), ('together', 'r'), ('', 'n'), ('Kylian', 'n'), ('beginning', 'v'), ('', 'n'), ('was', 'v'), ('strange', 'a'), ('didnt', 'v'), ('know', 'v'), ('was', 'v'), ('staying', 'v'), ('leaving', 'v'), ('', 'a'), ('Luckily', 'n'), ('are', 'v'), ('getting', 'v'), ('know', 'v'), ('other', 'a'), ('more', 'a'), ('', 'a'), ('', 'n'), ('', 'n'), ('TheChipsFutbol', 'n'), ('', 'n'), ('', 'n')]","['Messi', 'have', 'have', 'longstanding', 'relationship', 'Neymar', 'keep', 'talk', 'not', 'play', 'together', 'Kylian', 'begin', 'be', 'strange', 'didnt', 'know', 'be', 'stay', 'leave', 'Luckily', 'be', 'get', 'know', 'other', 'more', 'TheChipsFutbol']"
3,@Barca_Buzz I expect 2012 messi lookalike nothing less,"['BarcaBuzz', 'I', 'expect', '2012', 'messi', 'lookalike', 'nothing', 'less']","[('BarcaBuzz', 'n'), ('expect', 'v'), ('messi', 'n'), ('nothing', 'n')]","['BarcaBuzz', 'expect', 'messi', 'nothing']"
4,@PSGhub @SaberDesfa Messi haters wanna talk shit about him rn well just wait til after international break is over Messi his haters (Penaldogs) better be ready to hide in their caves!!,"['PSGhub', 'SaberDesfa', 'Messi', 'haters', 'wanna', 'talk', 'shit', 'about', 'him', 'rn', 'well', 'just', 'wait', 'til', 'after', 'international', 'break', 'is', 'over', 'Messi', 'his', 'haters', '', 'Penaldogs', '', 'better', 'be', 'ready', 'to', 'hide', 'in', 'their', 'caves', '', '']","[('PSGhub', 'n'), ('SaberDesfa', 'n'), ('Messi', 'n'), ('haters', 'n'), ('wanna', 'v'), ('talk', 'n'), ('shit', 'n'), ('rn', 'v'), ('well', 'r'), ('just', 'r'), ('wait', 'n'), ('til', 'n'), ('international', 'a'), ('break', 'n'), ('is', 'v'), ('Messi', 'n'), ('haters', 'n'), ('', 'v'), ('Penaldogs', 'n'), ('', 'n'), ('better', 'r'), ('be', 'v'), ('ready', 'a'), ('hide', 'v'), ('caves', 'n'), ('', 'v'), ('', 'n')]","['PSGhub', 'SaberDesfa', 'Messi', 'hater', 'wanna', 'talk', 'shit', 'rn', 'well', 'just', 'wait', 'til', 'international', 'break', 'be', 'Messi', 'hater', 'Penaldogs', 'well', 'be', 'ready', 'hide', 'cave']"
5,@PSGhub @SaberDesfa Good 4 Messi tbf. Definitely needed 2 rest.,"['PSGhub', 'SaberDesfa', 'Good', '4', 'Messi', 'tbf', '', 'Definitely', 'needed', '2', 'rest', '']","[('PSGhub', 'n'), ('SaberDesfa', 'n'), ('Good', 'n'), ('Messi', 'n'), ('tbf', 'n'), ('', 'n'), ('Definitely', 'n'), ('needed', 'v'), ('rest', 'n'), ('', 'n')]","['PSGhub', 'SaberDesfa', 'Good', 'Messi', 'tbf', 'Definitely', 'need', 'rest']"
6,@hadrien_grenier @SaberDesfa Messi is the new Verratti,"['hadriengrenier', 'SaberDesfa', 'Messi', 'is', 'the', 'new', 'Verratti']","[('hadriengrenier', 'a'), ('SaberDesfa', 'n'), ('Messi', 'n'), ('is', 'v'), ('new', 'a'), ('Verratti', 'n')]","['hadriengrenier', 'SaberDesfa', 'Messi', 'be', 'new', 'Verratti']"
7,"@TrollFootball Lionel Messi in 2021:

✅ 49 games
✅ 40 goals
✅ 14 assists
✅ 27 MOTM awards
✅ La Liga top scorer
✅ Copa America top scorer, Player of the Tournament and winner

If any other player had these stats then they would win the Ballon d'Or without debate. Give him his #7 🏆 #LM7 https://t.co/1sqMBb61Ke","['TrollFootball', 'Lionel', 'Messi', 'in', '2021', '', '', '49', 'games', '', '40', 'goals', '', '14', 'assists', '', '27', 'MOTM', 'awards', '', 'La', 'Liga', 'top', 'scorer', '', 'Copa', 'America', 'top', 'scorer', '', 'Player', 'of', 'the', 'Tournament', 'and', 'winner', 'If', 'any', 'other', 'player', 'had', 'these', 'stats', 'then', 'they', 'would', 'win', 'the', 'Ballon', 'dOr', 'without', 'debate', '', 'Give', 'him', 'his', '', '7', '', 'LM7', '']","[('Lionel', 'n'), ('Messi', 'n'), ('', 'n'), ('', 'v'), ('games', 'n'), ('', 'r'), ('goals', 'n'), ('', 'v'), ('assists', 'n'), ('', 'v'), ('MOTM', 'n'), ('awards', 'n'), ('', 'n'), ('La', 'n'), ('Liga', 'n'), ('top', 'a'), ('scorer', 'n'), ('', 'n'), ('Copa', 'n'), ('America', 'n'), ('top', 'a'), ('scorer', 'n'), ('', 'n'), ('Player', 'n'), ('Tournament', 'n'), ('winner', 'n'), ('other', 'a'), ('player', 'n'), ('had', 'v'), ('stats', 'n'), ('then', 'r'), ('win', 'v'), ('Ballon', 'n'), ('dOr', 'n'), ('debate', 'n'), ('', 'n'), ('Give', 'v'), ('', 'n'), ('', 'n'), ('LM7', 'n'), ('', 'n')]","['Lionel', 'Messi', 'game', 'goal', 'assist', 'MOTM', 'award', 'La', 'Liga', 'top', 'scorer', 'Copa', 'America', 'top', 'scorer', 'Player', 'Tournament', 'winner', 'other', 'player', 'have', 'stats', 'then', 'win', 'Ballon', 'dOr', 'debate', 'Give', 'LM7']"
8,"@av_bagged @Chaviesquement When news of koeman freezing riqui for leaking news broke , there were also reports that a section of the dressing room supported koeman, I think messi was one of them, you can tell that by leo's Excellent relation with ronald","['avbagged', 'Chaviesquement', 'When', 'news', 'of', 'koeman', 'freezing', 'riqui', 'for', 'leaking', 'news', 'broke', '', 'there', 'were', 'also', 'reports', 'that', 'a', 'section', 'of', 'the', 'dressing', 'room', 'supported', 'koeman', '', 'I', 'think', 'messi', 'was', 'one', 'of', 'them', '', 'you', 'can', 'tell', 'that', 'by', 'leos', 'Excellent', 'relation', 'with', 'ronald']","[('avbagged', 'v'), ('Chaviesquement', 'n'), ('news', 'n'), ('koeman', 'n'), ('freezing', 'v'), ('riqui', 'n'), ('leaking', 'v'), ('news', 'n'), ('broke', 'v'), ('', 'r'), ('were', 'v'), ('also', 'r'), ('reports', 'v'), ('section', 'n'), ('dressing', 'n'), ('room', 'n'), ('supported', 'v'), ('koeman', 'a'), ('', 'n'), ('think', 'v'), ('messi', 'n'), ('was', 'v'), ('', 'v'), ('tell', 'v'), ('leos', 'a'), ('Excellent', 'n'), ('relation', 'n'), ('ronald', 'n')]","['avbagged', 'Chaviesquement', 'news', 'koeman', 'freeze', 'riqui', 'leak', 'news', 'break', 'be', 'also', 'report', 'section', 'dressing', 'room', 'support', 'koeman', 'think', 'messi', 'be', 'tell', 'leos', 'Excellent', 'relation', 'ronald']"
9,Noone mentioned messi in that tweet you bum https://t.co/FUrU8UwzXs,"['Noone', 'mentioned', 'messi', 'in', 'that', 'tweet', 'you', 'bum', '']","[('Noone', 'n'), ('mentioned', 'v'), ('messi', 'n'), ('tweet', 'n'), ('bum', 'v'), ('', 'v')]","['Noone', 'mention', 'messi', 'tweet', 'bum']"
