,text,tokenized_text,POS_text
0,(☀️) Lionel Messi 🇦🇷 is OUT for the match against RB Leipzig. [@SaberDesfa] #UCL https://t.co/pWr9RuLbls,"['', '', '️', '', 'Lionel', 'Messi', '', '', 'is', 'OUT', 'for', 'the', 'match', 'against', 'RB', 'Leipzig', '', '', 'SaberDesfa', '', 'UCL', '']","[('', 'JJ'), ('', 'NNP'), ('️', 'NNP'), ('', 'NNP'), ('Lionel', 'NNP'), ('Messi', 'NNP'), ('', 'NNP'), ('', 'NNP'), ('is', 'VBZ'), ('OUT', 'NNP'), ('for', 'IN'), ('the', 'DT'), ('match', 'NN'), ('against', 'IN'), ('RB', 'NNP'), ('Leipzig', 'NNP'), ('', 'NNP'), ('', 'NNP'), ('SaberDesfa', 'NNP'), ('', 'NNP'), ('UCL', 'NNP'), ('', 'NN')]"
1,"@CertifiedRatio @TrollFootball Album: psg
Artist: messi

Track Listing:
1. Bottlejob adventures
2. Ghosts
3. 007 (no time to contribute)
4. Save me 
5. I'm struggling
6. Out of place
7. I was forced to leave","['CertifiedRatio', 'TrollFootball', 'Album', '', 'psg', 'Artist', '', 'messi', 'Track', 'Listing', '', '1', '', 'Bottlejob', 'adventures', '2', '', 'Ghosts', '3', '', '007', '', 'no', 'time', 'to', 'contribute', '', '4', '', 'Save', 'me', '5', '', 'Im', 'struggling', '6', '', 'Out', 'of', 'place', '7', '', 'I', 'was', 'forced', 'to', 'leave']","[('CertifiedRatio', 'NNP'), ('TrollFootball', 'NNP'), ('Album', 'NNP'), ('', 'NNP'), ('psg', 'JJ'), ('Artist', 'NNP'), ('', 'NNP'), ('messi', 'NNP'), ('Track', 'NNP'), ('Listing', 'NNP'), ('', 'VBZ'), ('1', 'CD'), ('', 'JJ'), ('Bottlejob', 'NNP'), ('adventures', 'VBZ'), ('2', 'CD'), ('', 'NN'), ('Ghosts', 'NNS'), ('3', 'CD'), ('', '$'), ('007', 'CD'), ('', 'NNP'), ('no', 'DT'), ('time', 'NN'), ('to', 'TO'), ('contribute', 'VB'), ('', 'JJ'), ('4', 'CD'), ('', 'NN'), ('Save', 'NNP'), ('me', 'PRP'), ('5', 'CD'), ('', 'JJ'), ('Im', 'NNP'), ('struggling', 'VBG'), ('6', 'CD'), ('', 'JJ'), ('Out', 'NNP'), ('of', 'IN'), ('place', 'NN'), ('7', 'CD'), ('', 'NN'), ('I', 'PRP'), ('was', 'VBD'), ('forced', 'VBN'), ('to', 'TO'), ('leave', 'VB')]"
2,"Messi 🗣

""I have had a long-standing relationship with Neymar, we kept talking despite not playing together. With Kylian at the beginning, it was strange because we didn't know if he was staying or leaving. Luckily we are getting to know each other more.""

[@TheChips_Futbol] https://t.co/VOANFkvh2j","['Messi', '', '', 'I', 'have', 'had', 'a', 'longstanding', 'relationship', 'with', 'Neymar', '', 'we', 'kept', 'talking', 'despite', 'not', 'playing', 'together', '', 'With', 'Kylian', 'at', 'the', 'beginning', '', 'it', 'was', 'strange', 'because', 'we', 'didnt', 'know', 'if', 'he', 'was', 'staying', 'or', 'leaving', '', 'Luckily', 'we', 'are', 'getting', 'to', 'know', 'each', 'other', 'more', '', '', '', 'TheChipsFutbol', '', '']","[('Messi', 'NNP'), ('', 'NNP'), ('', 'NNP'), ('I', 'PRP'), ('have', 'VBP'), ('had', 'VBD'), ('a', 'DT'), ('longstanding', 'JJ'), ('relationship', 'NN'), ('with', 'IN'), ('Neymar', 'NNP'), ('', 'NNP'), ('we', 'PRP'), ('kept', 'VBD'), ('talking', 'VBG'), ('despite', 'IN'), ('not', 'RB'), ('playing', 'VBG'), ('together', 'RB'), ('', 'NN'), ('With', 'IN'), ('Kylian', 'NNP'), ('at', 'IN'), ('the', 'DT'), ('beginning', 'VBG'), ('', 'NN'), ('it', 'PRP'), ('was', 'VBD'), ('strange', 'JJ'), ('because', 'IN'), ('we', 'PRP'), ('didnt', 'VBP'), ('know', 'VB'), ('if', 'IN'), ('he', 'PRP'), ('was', 'VBD'), ('staying', 'VBG'), ('or', 'CC'), ('leaving', 'VBG'), ('', 'JJ'), ('Luckily', 'NNP'), ('we', 'PRP'), ('are', 'VBP'), ('getting', 'VBG'), ('to', 'TO'), ('know', 'VB'), ('each', 'DT'), ('other', 'JJ'), ('more', 'JJR'), ('', 'JJ'), ('', 'NNP'), ('', 'NNP'), ('TheChipsFutbol', 'NNP'), ('', 'NNP'), ('', 'NN')]"
3,@Barca_Buzz I expect 2012 messi lookalike nothing less,"['BarcaBuzz', 'I', 'expect', '2012', 'messi', 'lookalike', 'nothing', 'less']","[('BarcaBuzz', 'NNP'), ('I', 'PRP'), ('expect', 'VBP'), ('2012', 'CD'), ('messi', 'NN'), ('lookalike', 'IN'), ('nothing', 'NN'), ('less', 'CC')]"
4,@PSGhub @SaberDesfa Messi haters wanna talk shit about him rn well just wait til after international break is over Messi his haters (Penaldogs) better be ready to hide in their caves!!,"['PSGhub', 'SaberDesfa', 'Messi', 'haters', 'wanna', 'talk', 'shit', 'about', 'him', 'rn', 'well', 'just', 'wait', 'til', 'after', 'international', 'break', 'is', 'over', 'Messi', 'his', 'haters', '', 'Penaldogs', '', 'better', 'be', 'ready', 'to', 'hide', 'in', 'their', 'caves', '', '']","[('PSGhub', 'NNP'), ('SaberDesfa', 'NNP'), ('Messi', 'NNP'), ('haters', 'NNS'), ('wanna', 'VBP'), ('talk', 'NN'), ('shit', 'NN'), ('about', 'IN'), ('him', 'PRP'), ('rn', 'VB'), ('well', 'RB'), ('just', 'RB'), ('wait', 'NN'), ('til', 'NN'), ('after', 'IN'), ('international', 'JJ'), ('break', 'NN'), ('is', 'VBZ'), ('over', 'IN'), ('Messi', 'NNP'), ('his', 'PRP$'), ('haters', 'NNS'), ('', 'VBP'), ('Penaldogs', 'NNP'), ('', 'NNP'), ('better', 'RB'), ('be', 'VB'), ('ready', 'JJ'), ('to', 'TO'), ('hide', 'VB'), ('in', 'IN'), ('their', 'PRP$'), ('caves', 'NNS'), ('', 'VBP'), ('', 'NN')]"
5,@PSGhub @SaberDesfa Good 4 Messi tbf. Definitely needed 2 rest.,"['PSGhub', 'SaberDesfa', 'Good', '4', 'Messi', 'tbf', '', 'Definitely', 'needed', '2', 'rest', '']","[('PSGhub', 'NNP'), ('SaberDesfa', 'NNP'), ('Good', 'NNP'), ('4', 'CD'), ('Messi', 'NNP'), ('tbf', 'NN'), ('', 'NNP'), ('Definitely', 'NNP'), ('needed', 'VBD'), ('2', 'CD'), ('rest', 'NN'), ('', 'NN')]"
6,@hadrien_grenier @SaberDesfa Messi is the new Verratti,"['hadriengrenier', 'SaberDesfa', 'Messi', 'is', 'the', 'new', 'Verratti']","[('hadriengrenier', 'JJR'), ('SaberDesfa', 'NNP'), ('Messi', 'NNP'), ('is', 'VBZ'), ('the', 'DT'), ('new', 'JJ'), ('Verratti', 'NNP')]"
7,"@TrollFootball Lionel Messi in 2021:

✅ 49 games
✅ 40 goals
✅ 14 assists
✅ 27 MOTM awards
✅ La Liga top scorer
✅ Copa America top scorer, Player of the Tournament and winner

If any other player had these stats then they would win the Ballon d'Or without debate. Give him his #7 🏆 #LM7 https://t.co/1sqMBb61Ke","['TrollFootball', 'Lionel', 'Messi', 'in', '2021', '', '', '49', 'games', '', '40', 'goals', '', '14', 'assists', '', '27', 'MOTM', 'awards', '', 'La', 'Liga', 'top', 'scorer', '', 'Copa', 'America', 'top', 'scorer', '', 'Player', 'of', 'the', 'Tournament', 'and', 'winner', 'If', 'any', 'other', 'player', 'had', 'these', 'stats', 'then', 'they', 'would', 'win', 'the', 'Ballon', 'dOr', 'without', 'debate', '', 'Give', 'him', 'his', '', '7', '', 'LM7', '']","[('TrollFootball', 'DT'), ('Lionel', 'NNP'), ('Messi', 'NNP'), ('in', 'IN'), ('2021', 'CD'), ('', 'NNP'), ('', 'VBD'), ('49', 'CD'), ('games', 'NNS'), ('', 'RB'), ('40', 'CD'), ('goals', 'NNS'), ('', 'VBD'), ('14', 'CD'), ('assists', 'NNS'), ('', 'VBP'), ('27', 'CD'), ('MOTM', 'NNP'), ('awards', 'NNS'), ('', 'NNP'), ('La', 'NNP'), ('Liga', 'NNP'), ('top', 'JJ'), ('scorer', 'NN'), ('', 'NNP'), ('Copa', 'NNP'), ('America', 'NNP'), ('top', 'JJ'), ('scorer', 'NN'), ('', 'NNP'), ('Player', 'NNP'), ('of', 'IN'), ('the', 'DT'), ('Tournament', 'NNP'), ('and', 'CC'), ('winner', 'NN'), ('If', 'IN'), ('any', 'DT'), ('other', 'JJ'), ('player', 'NN'), ('had', 'VBD'), ('these', 'DT'), ('stats', 'NNS'), ('then', 'RB'), ('they', 'PRP'), ('would', 'MD'), ('win', 'VB'), ('the', 'DT'), ('Ballon', 'NNP'), ('dOr', 'NN'), ('without', 'IN'), ('debate', 'NN'), ('', 'NNS'), ('Give', 'VBP'), ('him', 'PRP'), ('his', 'PRP$'), ('', 'NN'), ('7', 'CD'), ('', 'NN'), ('LM7', 'NNP'), ('', 'NN')]"
8,"@av_bagged @Chaviesquement When news of koeman freezing riqui for leaking news broke , there were also reports that a section of the dressing room supported koeman, I think messi was one of them, you can tell that by leo's Excellent relation with ronald","['avbagged', 'Chaviesquement', 'When', 'news', 'of', 'koeman', 'freezing', 'riqui', 'for', 'leaking', 'news', 'broke', '', 'there', 'were', 'also', 'reports', 'that', 'a', 'section', 'of', 'the', 'dressing', 'room', 'supported', 'koeman', '', 'I', 'think', 'messi', 'was', 'one', 'of', 'them', '', 'you', 'can', 'tell', 'that', 'by', 'leos', 'Excellent', 'relation', 'with', 'ronald']","[('avbagged', 'VBN'), ('Chaviesquement', 'NN'), ('When', 'WRB'), ('news', 'NN'), ('of', 'IN'), ('koeman', 'NN'), ('freezing', 'VBG'), ('riqui', 'NN'), ('for', 'IN'), ('leaking', 'VBG'), ('news', 'NN'), ('broke', 'VBD'), ('', 'RB'), ('there', 'EX'), ('were', 'VBD'), ('also', 'RB'), ('reports', 'VBZ'), ('that', 'IN'), ('a', 'DT'), ('section', 'NN'), ('of', 'IN'), ('the', 'DT'), ('dressing', 'NN'), ('room', 'NN'), ('supported', 'VBD'), ('koeman', 'JJ'), ('', 'NN'), ('I', 'PRP'), ('think', 'VBP'), ('messi', 'NN'), ('was', 'VBD'), ('one', 'CD'), ('of', 'IN'), ('them', 'PRP'), ('', 'VBP'), ('you', 'PRP'), ('can', 'MD'), ('tell', 'VB'), ('that', 'IN'), ('by', 'IN'), ('leos', 'JJ'), ('Excellent', 'NNP'), ('relation', 'NN'), ('with', 'IN'), ('ronald', 'NN')]"
9,Noone mentioned messi in that tweet you bum https://t.co/FUrU8UwzXs,"['Noone', 'mentioned', 'messi', 'in', 'that', 'tweet', 'you', 'bum', '']","[('Noone', 'NN'), ('mentioned', 'VBD'), ('messi', 'NN'), ('in', 'IN'), ('that', 'DT'), ('tweet', 'NN'), ('you', 'PRP'), ('bum', 'VBP'), ('', 'VB')]"
