,text,created_at,id,author_id
0,(☀️) Lionel Messi 🇦🇷 is OUT for the match against RB Leipzig. [@SaberDesfa] #UCL https://t.co/pWr9RuLbls,2021-11-01T15:26:14.000Z,1455194479560851457,1298322414594428928
1,"@CertifiedRatio @TrollFootball Album: psg
Artist: messi

Track Listing:
1. Bottlejob adventures
2. Ghosts
3. 007 (no time to contribute)
4. Save me 
5. I'm struggling
6. Out of place
7. I was forced to leave",2021-11-01T15:26:06.000Z,1455194444727132161,1674943506
2,"Messi 🗣

""I have had a long-standing relationship with Neymar, we kept talking despite not playing together. With Kylian at the beginning, it was strange because we didn't know if he was staying or leaving. Luckily we are getting to know each other more.""

[@TheChips_Futbol] https://t.co/VOANFkvh2j",2021-11-01T15:25:56.000Z,1455194401026760708,263257931
3,@Barca_Buzz I expect 2012 messi lookalike nothing less,2021-11-01T15:25:46.000Z,1455194360002318340,3000056673
4,@PSGhub @SaberDesfa Messi haters wanna talk shit about him rn well just wait til after international break is over Messi his haters (Penaldogs) better be ready to hide in their caves!!,2021-11-01T15:25:29.000Z,1455194287700856832,1438485740187435012
5,@PSGhub @SaberDesfa Good 4 Messi tbf. Definitely needed 2 rest.,2021-11-01T15:25:17.000Z,1455194238455463938,1053508456097951744
6,@hadrien_grenier @SaberDesfa Messi is the new Verratti,2021-11-01T15:25:04.000Z,1455194184558825474,715655522033078272
7,"@TrollFootball Lionel Messi in 2021:

✅ 49 games
✅ 40 goals
✅ 14 assists
✅ 27 MOTM awards
✅ La Liga top scorer
✅ Copa America top scorer, Player of the Tournament and winner

If any other player had these stats then they would win the Ballon d'Or without debate. Give him his #7 🏆 #LM7 https://t.co/1sqMBb61Ke",2021-11-01T15:25:03.000Z,1455194180628754435,1414726159548522496
8,"@av_bagged @Chaviesquement When news of koeman freezing riqui for leaking news broke , there were also reports that a section of the dressing room supported koeman, I think messi was one of them, you can tell that by leo's Excellent relation with ronald",2021-11-01T15:25:02.000Z,1455194177721942020,2898364586
9,Noone mentioned messi in that tweet you bum https://t.co/FUrU8UwzXs,2021-11-01T15:24:46.000Z,1455194110789238785,1400344018639220736
10,@6BDORS Messi is the best 🥇,2021-11-01T15:24:44.000Z,1455194101784195090,1324342440497680391
11,"Oml messi has never hit these levels

https://t.co/gbiPrg0pdQ https://t.co/kWJSJS7gz7",2021-11-01T15:24:43.000Z,1455194095496794112,1452011751264817152
12,"Lionel Messi says thought of retiring after next year’s FIFA World Cup has not crossed his mind-Sports News , Firstpost https://t.co/KsRx5fP53n",2021-11-01T15:24:39.000Z,1455194077830553600,1369199207689580544
13,"@sideblancos @MasiaProdigy @kickoffspot_ @somedaytolive @shivanshfcbm One of the worst takes on this app. Messi has done it in CL, the World Cup, Copa America, and in a top league for over a decade yet he can’t be the goat because he didn’t prove himself in another league? Do u seriously think he couldn’t put up numbers in his prime in other league",2021-11-01T15:24:31.000Z,1455194044682887179,1229575248095404032
14,"@leitren Lmao idris gana gueye or whatever his name is doesn't have that kinda IQ, he did rather pass to a mark mbappe than messi.",2021-11-01T15:24:30.000Z,1455194042728386560,1203395854935175169
15,"@Chrisanchez15 @Letter_to_Jack What are the things Ronaldo has done that Messi can't do ? 
I'm waiting for your list bro",2021-11-01T15:23:57.000Z,1455193905431912450,862645751201095680
